creator_type,creator_name,title_count,movies,tv_shows
Actor,Reza Rahadian,10,10,0
Actor,Lake Bell,10,7,3
Actor,Brijendra Kala,10,10,0
Actor,Preity Zinta,10,10,0
Actor,Luke Wilson,10,10,0
Actor,Atul Kulkarni,10,10,0
Actor,T.J. Miller,10,9,1
Actor,Yuri Lowenthal,10,3,7
Actor,Chie Nakamura,10,9,1
Actor,Idris Elba,10,9,1
Actor,Kevin Corrigan,10,9,1
Actor,Rahul Bose,10,9,1
Actor,Andy Richter,10,7,3
Actor,Johnny Lever,10,10,0
Actor,Cam Clarke,10,8,2
Actor,Jennifer Garner,10,9,1
Actor,Nobunaga Shimazaki,10,2,8
Actor,Chris O'Dowd,10,7,3
Actor,Colin Farrell,10,10,0
Actor,Luis Guzmán,10,10,0
Actor,Raj Babbar,10,10,0
Actor,Romi Park,10,2,8
Actor,Kappei Yamaguchi,10,7,3
Actor,Bruce Dern,10,9,1
Actor,Sardar Sohi,10,10,0
Actor,John Goodman,10,9,1
Actor,Luis Tosar,10,9,1
Actor,Natalie Dormer,10,8,2
Actor,Sam Neill,10,9,1
Actor,Kate Walsh,10,5,5
Actor,Dustin Hoffman,10,8,2
Actor,Sonali Kulkarni,10,10,0
Actor,Jonah Hill,10,9,1
Actor,Alia Shawkat,10,8,2
Actor,Adesua Etomi,10,9,1
Actor,Donnie Yen,10,10,0
Actor,David Oyelowo,10,9,1
Actor,Yukari Tamura,10,2,8
Actor,Terrence Howard,10,10,0
Actor,Cameron Diaz,10,8,2
Actor,Oprah Winfrey,10,9,1
Actor,Supriya Pathak,10,10,0
Actor,Amy Poehler,10,7,3
Actor,Nick Offerman,10,8,2
Actor,Anna Kendrick,10,10,0
Actor,Prakash Raj,10,8,2
Actor,Karamjit Anmol,10,10,0
Actor,Nicole Kidman,10,10,0
Actor,Maria Bello,10,10,0
Actor,Bayoumi Fouad,10,9,1
Actor,Louis Koo,10,10,0
Actor,Ewan McGregor,10,9,1
Actor,Ali Nuhu,10,10,0
Actor,Kalki Koechlin,10,9,1
Actor,M・A・O,10,1,9
Actor,Topher Grace,10,8,2
Actor,Arshad Warsi,10,10,0
Actor,Segun Arinze,10,10,0
Actor,Jane Lynch,10,9,1
Actor,Neil Patrick Harris,10,8,2
Actor,Patrick Wilson,10,10,0
Actor,Jon Lovitz,10,9,1
Actor,Zakir Hussain,10,10,0
Actor,Kohsuke Toriumi,10,1,9
Actor,Nolan North,10,6,4
Actor,Emraan Hashmi,10,9,1
Actor,Mukesh Tiwari,10,10,0
Actor,Kim Coates,10,9,1
Actor,Shraddha Kapoor,10,10,0
Actor,David Harbour,10,7,3
Actor,Rebecca Shoichet,10,5,5
Actor,Reina Ueda,10,3,7
Actor,Manav Kaul,10,9,1
Actor,Neha Dhupia,10,10,0
Actor,Mikako Komatsu,10,2,8
Actor,Helena Bonham Carter,10,9,1
Actor,Shreyas Talpade,10,10,0
Actor,Zoe Saldana,10,10,0
Actor,Prem Chopra,10,10,0
Actor,Vivek Oberoi,10,10,0
Actor,Shannon Chan-Kent,10,6,4
Actor,Alan Cumming,10,10,0
Actor,Eddie Marsan,10,9,1
Actor,Cezmi Baskın,10,9,1
Actor,Anthony Hopkins,10,10,0
Actor,Taylor Lautner,10,9,1
Actor,Janeane Garofalo,10,7,3
Actor,Tamannaah Bhatia,10,10,0
Actor,Benedict Cumberbatch,10,9,1
Actor,John Carroll Lynch,10,10,0
Actor,James Remar,10,8,2
Actor,Jason Isaacs,10,8,2
Actor,Jide Kosoko,10,9,1
Actor,Manoj Pahwa,10,8,2
Actor,Mohammed Tharwat,10,9,1
Actor,Christopher Meloni,10,7,3
Actor,Greg Kinnear,10,10,0
Actor,Will Arnett,10,6,4
Actor,Kurt Russell,10,9,1
Actor,Hiroki Yasumoto,10,1,9
Actor,Grey DeLisle,10,5,5
Actor,Kazuyuki Okitsu,10,1,9
Actor,Joke Silva,10,10,0
Actor,Ramya Krishnan,10,10,0
Actor,Zach Galifianakis,10,10,0
Actor,Beverly Naya,10,9,1
Actor,Teresa Gallagher,10,6,4
Actor,Jada Pinkett Smith,10,7,3
Actor,Lena Headey,10,5,5
Actor,Mike Vogel,10,8,2
Actor,Russell Peters,10,7,3
Actor,Murli Sharma,9,9,0
Actor,Makrand Deshpande,9,9,0
Actor,Bill Hader,9,8,1
Actor,Mary Elizabeth Winstead,9,8,1
Actor,Manu Rishi Chadha,9,9,0
Actor,Sarah Natochenny,9,4,5
Actor,Mahershala Ali,9,5,4
Actor,Steve Blum,9,4,5
Actor,Giancarlo Esposito,9,5,4
Actor,Carlos Alazraqui,9,8,1
Actor,Rob Rackstraw,9,7,2
Actor,Jim Cummings,9,8,1
Actor,Dakota Fanning,9,9,0
Actor,Sam Worthington,9,9,0
Actor,Judi Dench,9,9,0
Actor,Koji Yusa,9,0,9
Actor,Richard Jenkins,9,9,0
Actor,Manish Chaudhary,9,7,2
Actor,Mike Myers,9,6,3
Actor,Craig Robinson,9,9,0
Actor,Bill Murray,9,9,0
Actor,Ashley Greene,9,9,0
Actor,Farida Jalal,9,9,0
Actor,Frank Welker,9,4,5
Actor,Walton Goggins,9,7,2
Actor,Catherine O'Hara,9,7,2
